strong_G,origin_type,strong_H_ref,raw_entry_ocr
G2976,Hebrew,H0499,"Adijapos Lazards, lad'-zar-os; prob. of Heb. or. [499] ; Lazarus (i.e. Elazar), the name of two Isr. (one imaginary):— Lazarus."
G5016,Hebrew,H8878,"Xcirrov leptAn, lep-ton'; neut. of a der. of the same as 3013; something scaled (light), i.e. a small coin:— mite. SOU. AM Leui, lyoo-ee'; of Heb. or. [8878]; Levi, the name of three Isr. :— Levi. Comp."
G3091,Hebrew,H8876,"A<St tot, lote; of Heb. or. [8876]; Lot, a pa- triarch:— Lot. M"
G3097,Foreign (via Hebrew),H7248,"[tdyos magAs, mag'-os; of for. or. [7248]; a Jfagz'an, i.e. Oriental scientist; by impl. a magi- cian.-—sorcerer, wise man."
G8098,Hebrew,H4081,"May^y Magog, mog-ogue'; of Heb. or. [4081]; Magog, a for. nation, i.e. (fig.) an Antiehris- tian party:— Magog."
G8099,Hebrew,H4080,"MaSidv Madlan, mad-ee-an'; of Heb. or. [4080]; Madian (i.e. Midian), a region of Arabia:— Madian."
G3103,Hebrew,H4968,"Ma6owdXa Mathdusala, math-oo-sal'- ah; of Heb. or. [4968] ; Mathusala (i.e. Methushelach), an antediluvian:— Mathusala."
G3124,Hebrew,H4429,"MdX\os Malchos, mal'-khos; of Heb. or. [4429] ; Malchus, an Isr. :— Malchus."
G3128,Hebrew,H4519,"Mavatrarrjs Manasses, man-as-sace' ; of Heb. or. [4519] ; Manasses (i.e. Menashsheh), an Isr.:— Manasses."
G3131,Hebrew,H4478,"udvva manna, man'-nah; of Heb. or. [4478]; manna (i.e. man), an edible gum:— manna."
G3137,Hebrew,H4813,"MapCa Maria, mar-eef-ah; or Mapidu Mariam, mar-ee-am'; of Heb. or. [4813]; Maria or Mariam (i.e. Mirjam), the name of six Chr. females:— Mary."
G3157,Hebrew,H4977,"MoT0dv Matthan, mat-than'; of Heb. or. [4977] ; Matthan (i.e. Maltan), an Isr. :— Matthan."
G3161,Hebrew,H4993,"Marra61a$ Mattathlas, mat-tath-ee'-as; of Heb. or. [4993]; Mattathias (i.e. Mattithjah), an Isr. and Chr.:— Mattathias."
G3198,Hebrew,H4442,"McXxm&K MelchisSdek, mel-khis-ed- eV; of Heb. or. [4442]; Melchisedek (i.e. Malkitsedek), a patriarch: — Melchisedec."
G3323,Hebrew,H4899,"Mcavlas messias, mes-see'-as,' of Heb. or. [4899]; the Messias (i.e. Mashiach), or Christ:— Messias."
G3413,Hebrew,H4317,"Mixa<|\ KUcuael, mifch-ah-ole'; of Heb. or. [4317]; Michael, an archangel:— Michael."
G3434,Hebrew,H4488,"MoXox Moldcll mol-okh'; of Heb. or. [4488]; Moloch (i.e. Molek), an idol:— Moloch."
G3476,Hebrew,H5177,"Naa«ro-wv Naassou. nafc-as-sone'; of Heb. or. [5177]; JTaosson (i.e. JTacftsfton), an Isr.:— Naas- son."
G3481,Hebrew,H5416,"Na8dv Nathan, nath-an',- of Heb. or. [5416]; Nathan, an Isr.:— Nathan."
G8482,Hebrew,H5417,"NaOavarjX Nathanael, nath-an-ah-ale' ; of Heb. or. [5417] ; JVafftanaet (i.e. JVafftaneJ), an Isr. and Chr.: — Nathanael."
G3486,Hebrew,H5151,"Naovp. Naoam, nah-oom'; of Heb. or. [5151]; Naum (i.e. Nachum), an Isr.:— Naum."
G3493,Hebrew,H5152,"Naxc&p Nachor, nafcft-ore'; of Heb. or. [5152]; Nachor, the grandfather of Abraham:— Nachor."
G3497,Hebrew,H5283,"Neeudv Neeman, neh-eh-man'; of Heb. or. [5283] ; iVeeman (i.e. JTaaman), a Syrian:— Naaman."
G3507,Hebrew,H5321,"vcip&i) nephele, nef-el'-ay; from 3300; prop, cloudiness, i.e. (concr.) a cloud:— cloud. 350S. Ne+eoXetp, Nephthalelm, nef-thal-ime'; of Heb. or. [5321]; Nephthaleim (i.e. Naphthali), a tribe in Pal :— Nephthalim."
G3518,Hebrew,H5874,"Nijp' Neri, nay*ee"", of Heb. or. [5874]; Neri (i.e. Nerijah), an Isr.:— Neri."
G3535,Hebrew,H5210,"Niveut Nlnem, nin-yoo-ee'; of Heb. or. [5210]; Ninevi (i.e. Nineveh), the capital of Assyria:— Nineve."
G0004,Hebrew,H5818,"'OJCas dzlas, od-zee'-as; of Heb. or. [5818]; Ozias (i.e. Vzzijah), an Isr. :— Ozias."
G3631,Hebrew,H8196,"otvos AlnAs, oy>-nos; a prim, word (or perh. of Heb. or. [8196]); "" mine"" (lit. or flg.):— wine."
G3774,Hebrew,H0283,"OipCas durlas, oo^ree'-as; of Heb. or. [283]; Urias (i.e. Urijah), a Hittite:— Urias."
G4460,Hebrew,H7343,"'Padp Bhaab, hrah-ab'; of Heb. or. [7343]; Baab (i.e. Bachab), a Canaanitess:— Rahab. See also 4477-"
G0066,Hebrew,H7466,"'Pa^oB Rhagan, hrag-ow'; of Heb. or. [7466]; Ragau (i.e. Beii), a patriarch:— Ragau."
G4478,Hebrew,H7354,"'Pax^X Rhachel, hrakh-ale'; of Heb. or. [7354]; Bachel, the wife of Jacob:— Rachel."
G4479,Hebrew,H7259,"'P«P&cica Rheb£kka, hreb-bek'-kah; of Heb. or. [7259]; Bebecca (i.e. Bibka h), the wife of Isaac: —Rebecca."
G0007,Hebrew,H7346,"'PoPodp. Rhoboam, hrob-o-am'; of Heb. or. [7346]; Boboam (i.e. Bechabam), an Isr.:— Rob- oam."
G4503,Hebrew,H7327,"'Pov9 Rhdnth, Zirootft; of Heb. or. [7327]; ifrrfA, a Moabitess:— Ruth."
G4524,Hebrew,H6659,"SaSwK Saddle, sad-dke'; of Heb. or. [6659]; Sadoc (i.e. Tsadok), an Isr. : — Sadoc."
G4626,Hebrew,H8248,"o-Akkos sakkAs, sak'-kos; of Heb. or. [8248]; "" sack""-cloth, i.e. mohair (the material or garments made of it, worn as a sign of grief):— sackcloth."
G4521,Hebrew,H7974,"SoXd gala, sal-afc ; of Heb. or. [7974]; Sola (i.e. Shelach), a patriarch:— Sala."
G4528,Hebrew,H7697,"2aXa8i-fi.X Salathiel, sal-ath-ee -ale'; of Heb. or. [7697]; Salathiel (Le. Shealtiel), an Isr.:— Salathiel."
G4532,Hebrew,H8004,"SaXf> Salem, sal-ame1: of Heb. or. [8004]; Salem (i.e. Shalem), a. place in Pal.:— Salem. '. ZaX-ju&v Salmon, sal-mone1; of Heb. or. [8013] ; Salmon, an Isr. :— Salmon."
G4640,Hebrew,H8111,"Sajiapeia SmnarSii, sam-ar'-i-ah; of Heb. or. [8111]; Samaria (i.e. SAomeron), a city and region of Pal.:— Samaria."
G4545,Hebrew,H8050,"Sa|«>vf|\ SamAnel, sam-oo-ale'; of Heb. or. [8050]; Samuel (i.e. Shemuel), an Isr.:— SamueL 454S. 2ap|«iv Sampson, samp-sone'; of Heb. or. [8123]; Sampson (i.e. Shimshon), an Isr.:— Sam- son. ^"
G4552,Hebrew,H5601,"<rdir<p«pos sapphAlrAs, sap'-fi-ros; of Heb. or. [5601]; a ""sapphire"" or lapis-lazuli gem: — sapphire."
G4563,Hebrew,H8276,"a-aoydvi) sargane, sar-gan'-ay; appar. of Heb. or. [8276] ; a basket (as TOteraoren. or wicker- work):— basket."
G4658,Hebrew,H6886,"Sdpeirra SarApta, sar'-ep-tah; of Heb. or. [6886] ; Sarepta (i.e. Tsarephath), a place in Pal. : — Sarepta."
G4562,Hebrew,H8286,"Sapov\ SarAncb, sar-ooch'; of Heb. or. [8286]; Saruch (i.e. Serug), a patriarch :— Saruch."
G4664,Hebrew,H8283,"Sdppa Sarrba, sar'-hrah; of Heb. or. [8283]; Sarra (i.e. Sarah), the wife of Abraham:— Sara, Sarah."
G4566,Hebrew,H8289,"Sdpwv Saron, sar'-one; of Heb. or. [8289] Saron (i.e. Sharon), a district of Pal. :— Saron."
